time,light,sound
12-5-17:25:26:1,31,26
12-5-17:25:26:2,32,36
12-5-17:25:26:3,33,38
12-5-17:25:26:4,34,25
12-5-17:25:26:5,35,23
12-5-17:25:26:6,35,28
12-5-17:25:26:7,35,23
12-5-17:25:26:8,36,32
12-5-17:25:26:9,36,35
12-5-17:25:27:10,36,32
12-5-17:25:27:1,35,32
12-5-17:25:27:2,36,37
12-5-17:25:27:3,35,37
12-5-17:25:27:4,34,44
12-5-17:25:27:5,32,32
12-5-17:25:27:6,31,33
12-5-17:25:27:7,31,28
12-5-17:25:27:8,30,36
12-5-17:25:27:9,29,44
12-5-17:25:28:10,29,41
12-5-17:25:28:1,28,25
12-5-17:25:28:2,29,32
12-5-17:25:28:3,29,27
12-5-17:25:28:4,28,27
12-5-17:25:28:5,29,29
12-5-17:25:28:6,29,19
12-5-17:25:28:7,29,22
12-5-17:25:28:8,30,21
12-5-17:25:28:9,29,35
12-5-17:25:29:10,30,27
12-5-17:25:29:1,30,30
12-5-17:25:29:2,30,32
12-5-17:25:29:3,28,22
12-5-17:25:29:4,29,34
12-5-17:25:29:5,29,26
12-5-17:25:29:6,28,22
12-5-17:25:29:7,27,27
12-5-17:25:29:8,27,19
12-5-17:25:29:9,28,20
12-5-17:25:30:10,29,23
12-5-17:25:30:1,28,32
12-5-17:25:30:2,28,24
12-5-17:25:30:3,28,25
12-5-17:25:30:4,29,30
12-5-17:25:30:5,29,27
12-5-17:25:30:6,29,35
12-5-17:25:30:7,29,28
12-5-17:25:30:8,29,28
12-5-17:25:30:9,29,34
12-5-17:25:31:10,30,31
12-5-17:25:31:1,28,24
12-5-17:25:31:2,29,22
12-5-17:25:31:3,29,16
12-5-17:25:31:4,30,33
12-5-17:25:31:5,29,30
12-5-17:25:31:6,30,23
12-5-17:25:31:7,30,21
12-5-17:25:31:8,28,16
12-5-17:25:31:9,28,13
12-5-17:25:32:10,27,16
12-5-17:25:32:1,28,17
12-5-17:25:32:2,28,16
12-5-17:25:32:3,28,12
12-5-17:25:32:4,28,16
12-5-17:25:32:5,28,15
12-5-17:25:32:6,28,13
12-5-17:25:32:7,28,16
12-5-17:25:32:8,28,14
12-5-17:25:32:9,28,15
12-5-17:25:33:10,27,18
12-5-17:25:33:1,27,14
12-5-17:25:33:2,27,19
12-5-17:25:33:3,27,13
12-5-17:25:33:4,28,14
12-5-17:25:33:5,28,15
12-5-17:25:33:6,27,17
12-5-17:25:33:7,27,26
12-5-17:25:33:8,28,16
12-5-17:25:33:9,28,24
12-5-17:25:34:10,28,30
12-5-17:25:34:1,28,21
12-5-17:25:34:2,27,25
12-5-17:25:34:3,28,31
12-5-17:25:34:4,28,34
12-5-17:25:34:5,28,27
12-5-17:25:34:6,28,24
12-5-17:25:34:7,27,25
12-5-17:25:34:8,28,49
12-5-17:25:34:9,28,41
12-5-17:25:35:10,29,37
12-5-17:25:35:1,29,29
12-5-17:25:35:2,29,53
12-5-17:25:35:3,28,33
12-5-17:25:35:4,28,30
12-5-17:25:35:5,29,26
12-5-17:25:35:6,27,21
12-5-17:25:35:7,28,18
12-5-17:25:35:8,29,30
12-5-17:25:35:9,29,29
12-5-17:25:36:10,28,20
12-5-17:25:36:1,28,23
12-5-17:25:36:2,27,15
12-5-17:25:36:3,28,17
12-5-17:25:36:4,28,21
12-5-17:25:36:5,27,17
12-5-17:25:36:6,27,18
12-5-17:25:36:7,27,19
12-5-17:25:36:8,28,22
12-5-17:25:36:9,27,18
12-5-17:25:37:10,28,25
12-5-17:25:37:1,27,16
12-5-17:25:37:2,26,26
12-5-17:25:37:3,28,22
12-5-17:25:37:4,28,19
12-5-17:25:37:5,26,17
12-5-17:25:37:6,28,31
12-5-17:25:37:7,27,28
12-5-17:25:37:8,27,24
12-5-17:25:37:9,27,22
12-5-17:25:38:10,27,26
12-5-17:25:38:1,28,23
12-5-17:25:38:2,27,27
12-5-17:25:38:3,28,26
12-5-17:25:38:4,28,35
12-5-17:25:38:5,28,35
12-5-17:25:38:6,28,30
12-5-17:25:38:7,27,20
12-5-17:25:38:8,26,25
12-5-17:25:38:9,27,26
12-5-17:25:39:10,27,26
12-5-17:25:39:1,27,16
12-5-17:25:39:2,28,15
12-5-17:25:39:3,27,19
12-5-17:25:39:4,28,31
12-5-17:25:39:5,29,25
12-5-17:25:39:6,27,18
12-5-17:25:39:7,27,21
12-5-17:25:39:8,27,26
12-5-17:25:39:9,27,17
12-5-17:25:40:10,27,25
12-5-17:25:40:1,27,20
12-5-17:25:40:2,28,15
12-5-17:25:40:3,27,21
12-5-17:25:40:4,28,25
12-5-17:25:40:5,27,17
12-5-17:25:40:6,27,19
12-5-17:25:40:7,28,31
12-5-17:25:40:8,27,17
12-5-17:25:40:9,28,28
12-5-17:25:41:10,27,22
12-5-17:25:41:1,28,32
12-5-17:25:41:2,27,28
12-5-17:25:41:3,29,79
12-5-17:25:41:4,30,30
12-5-17:25:41:5,30,20
12-5-17:25:41:6,30,15
12-5-17:25:41:7,31,21
12-5-17:25:41:8,31,16
12-5-17:25:41:9,31,17
12-5-17:25:42:10,32,19
12-5-17:25:42:1,33,13
12-5-17:25:42:2,33,20
12-5-17:25:42:3,33,17
12-5-17:25:42:4,33,16
12-5-17:25:42:5,33,18
12-5-17:25:42:6,34,28
12-5-17:25:42:7,33,22
12-5-17:25:42:8,32,19
12-5-17:25:42:9,32,15
12-5-17:25:43:10,32,17
12-5-17:25:43:1,32,16
12-5-17:25:43:2,33,19
12-5-17:25:43:3,33,25
12-5-17:25:43:4,33,16
12-5-17:25:43:5,34,25
12-5-17:25:43:6,34,19
12-5-17:25:43:7,32,20
12-5-17:25:43:8,33,15
12-5-17:25:43:9,34,17
12-5-17:25:44:10,33,27
12-5-17:25:44:1,33,25
12-5-17:25:44:2,33,21
12-5-17:25:44:3,33,23
12-5-17:25:44:4,33,19
12-5-17:25:44:5,35,31
12-5-17:25:44:6,34,22
12-5-17:25:44:7,33,19
12-5-17:25:44:8,34,23
12-5-17:25:44:9,34,26
12-5-17:25:45:10,33,20
12-5-17:25:45:1,35,20
12-5-17:25:45:2,34,18
12-5-17:25:45:3,35,21
12-5-17:25:45:4,35,27
12-5-17:25:45:5,35,22
12-5-17:25:45:6,35,23
12-5-17:25:45:7,35,30
12-5-17:25:45:8,36,16
12-5-17:25:45:9,35,28
12-5-17:25:46:10,35,15
12-5-17:25:46:1,35,17
12-5-17:25:46:2,36,14
12-5-17:25:46:3,36,12
12-5-17:25:46:4,36,17
12-5-17:25:46:5,36,19
12-5-17:25:46:6,36,18
12-5-17:25:46:7,35,17
12-5-17:25:46:8,36,14
12-5-17:25:46:9,35,18
12-5-17:25:47:10,36,17
12-5-17:25:47:1,35,19
12-5-17:25:47:2,36,15
12-5-17:25:47:3,36,19
12-5-17:25:47:4,35,22
12-5-17:25:47:5,35,17
12-5-17:25:47:6,35,18
12-5-17:25:47:7,35,15
12-5-17:25:47:8,35,24
12-5-17:25:47:9,35,16
12-5-17:25:48:10,36,25
12-5-17:25:48:1,35,25
12-5-17:25:48:2,34,21
12-5-17:25:48:3,34,20
12-5-17:25:48:4,35,24
12-5-17:25:48:5,35,27
12-5-17:25:48:6,35,27
12-5-17:25:48:7,36,29
12-5-17:25:48:8,36,23
12-5-17:25:48:9,36,45
12-5-17:25:49:10,37,26
12-5-17:25:49:1,38,43
12-5-17:25:49:2,38,29
12-5-17:25:49:3,38,25
12-5-17:25:49:4,38,31
12-5-17:25:49:5,38,29
12-5-17:25:49:6,39,31
12-5-17:25:49:7,38,29
12-5-17:25:49:8,37,39
12-5-17:25:49:9,38,28
12-5-17:25:50:10,39,40
12-5-17:25:50:1,38,31
12-5-17:25:50:2,38,40
12-5-17:25:50:3,38,37
12-5-17:25:50:4,38,38
12-5-17:25:50:5,38,30
12-5-17:25:50:6,38,55
12-5-17:25:50:7,38,56
12-5-17:25:50:8,38,57
12-5-17:25:50:9,37,47
12-5-17:25:51:10,38,41
12-5-17:25:51:1,38,102
12-5-17:25:51:2,38,106
12-5-17:25:51:3,38,79
12-5-17:25:51:4,38,30
12-5-17:25:51:5,37,55
12-5-17:25:51:6,39,116
12-5-17:25:51:7,37,41
12-5-17:25:51:8,38,51
12-5-17:25:51:9,38,34
12-5-17:25:52:10,37,32
12-5-17:25:52:1,37,33
12-5-17:25:52:2,37,33
12-5-17:25:52:3,38,38
12-5-17:25:52:4,37,29
12-5-17:25:52:5,38,42
12-5-17:25:52:6,38,49
12-5-17:25:52:7,37,46
12-5-17:25:52:8,39,34
12-5-17:25:52:9,38,30
12-5-17:25:53:10,37,22
12-5-17:25:53:1,37,22
12-5-17:25:53:2,38,32
12-5-17:25:53:3,37,25
12-5-17:25:53:4,37,26
12-5-17:25:53:5,37,26
12-5-17:25:53:6,37,24
12-5-17:25:53:7,37,36
12-5-17:25:53:8,37,36
12-5-17:25:53:9,38,24
12-5-17:25:54:10,36,15
12-5-17:25:54:1,37,20
12-5-17:25:54:2,37,17
12-5-17:25:54:3,37,20
12-5-17:25:54:4,37,27
12-5-17:25:54:5,37,28
12-5-17:25:54:6,35,20
12-5-17:25:54:7,36,20
12-5-17:25:54:8,36,16
12-5-17:25:54:9,35,18
12-5-17:25:55:10,35,18
12-5-17:25:55:1,37,22
12-5-17:25:55:2,37,21
12-5-17:25:55:3,38,30
12-5-17:25:55:4,37,21
12-5-17:25:55:5,37,18
12-5-17:25:55:6,37,25
12-5-17:25:55:7,38,24
12-5-17:25:55:8,36,28
12-5-17:25:55:9,37,27
12-5-17:25:56:10,37,33
12-5-17:25:56:1,36,20
12-5-17:25:56:2,37,19
12-5-17:25:56:3,36,16
12-5-17:25:56:4,37,20
12-5-17:25:56:5,37,18
12-5-17:25:56:6,37,18
12-5-17:25:56:7,37,20
12-5-17:25:56:8,37,25
12-5-17:25:56:9,36,14
12-5-17:25:57:10,37,19
12-5-17:25:57:1,37,15
12-5-17:25:57:2,38,30
12-5-17:25:57:3,36,19
12-5-17:25:57:4,37,16
12-5-17:25:57:5,36,12
12-5-17:25:57:6,36,16
12-5-17:25:57:7,37,17
12-5-17:25:57:8,36,15
12-5-17:25:57:9,36,19
12-5-17:25:58:10,36,15
12-5-17:25:58:1,36,15
12-5-17:25:58:2,37,14
12-5-17:25:58:3,36,14
12-5-17:25:58:4,36,26
12-5-17:25:58:5,37,29
12-5-17:25:58:6,36,13
12-5-17:25:58:7,36,22
12-5-17:25:58:8,36,17
12-5-17:25:58:9,36,12
12-5-17:25:59:10,36,20
12-5-17:25:59:1,35,20
12-5-17:25:59:2,36,16
12-5-17:25:59:3,37,33
12-5-17:25:59:4,35,21
12-5-17:25:59:5,37,23
12-5-17:25:59:6,36,14
12-5-17:25:59:7,36,18
12-5-17:25:59:8,37,29
12-5-17:25:59:9,35,16
12-5-17:26:0:10,35,19
12-5-17:26:0:1,35,19
12-5-17:26:0:2,36,18
