time,light,sound
12-5-17:25:51:10,116,36
12-5-17:25:51:1,118,28
12-5-17:25:51:2,119,114
12-5-17:25:51:3,119,44
12-5-17:25:51:4,121,72
12-5-17:25:51:5,120,24
12-5-17:25:51:6,119,17
12-5-17:25:51:7,118,14
12-5-17:25:51:8,117,24
12-5-17:25:51:9,116,21
12-5-17:25:52:10,117,11
12-5-17:25:52:1,118,16
12-5-17:25:52:2,118,19
12-5-17:25:52:3,120,18
12-5-17:25:52:4,121,16
12-5-17:25:52:5,122,24
12-5-17:25:52:6,123,15
12-5-17:25:52:7,122,28
12-5-17:25:52:8,121,18
12-5-17:25:52:9,119,14
12-5-17:25:53:10,118,21
12-5-17:25:53:1,118,16
12-5-17:25:53:2,118,13
12-5-17:25:53:3,118,11
12-5-17:25:53:4,119,15
12-5-17:25:53:5,119,14
12-5-17:25:53:6,120,14
12-5-17:25:53:7,121,12
12-5-17:25:53:8,121,15
12-5-17:25:53:9,121,13
12-5-17:25:54:10,120,13
12-5-17:25:54:1,118,15
12-5-17:25:54:2,117,11
12-5-17:25:54:3,117,15
12-5-17:25:54:4,117,15
12-5-17:25:54:5,117,11
12-5-17:25:54:6,118,15
12-5-17:25:54:7,119,12
12-5-17:25:54:8,120,15
12-5-17:25:54:9,121,11
12-5-17:25:55:10,122,12
12-5-17:25:55:1,121,15
12-5-17:25:55:2,121,12
12-5-17:25:55:3,119,18
12-5-17:25:55:4,118,40
12-5-17:25:55:5,117,13
12-5-17:25:55:6,118,12
12-5-17:25:55:7,118,13
12-5-17:25:55:8,119,14
12-5-17:25:55:9,120,12
12-5-17:25:56:10,122,19
12-5-17:25:56:1,123,14
12-5-17:25:56:2,125,13
12-5-17:25:56:3,126,11
12-5-17:25:56:4,125,11
12-5-17:25:56:5,124,14
12-5-17:25:56:6,123,17
12-5-17:25:56:7,122,13
12-5-17:25:56:8,122,15
12-5-17:25:56:9,121,16
12-5-17:25:57:10,121,16
12-5-17:25:57:1,123,16
12-5-17:25:57:2,124,19
12-5-17:25:57:3,126,30
12-5-17:25:57:4,128,13
12-5-17:25:57:5,129,24
12-5-17:25:57:6,129,14
12-5-17:25:57:7,128,15
12-5-17:25:57:8,127,13
12-5-17:25:57:9,126,23
12-5-17:25:58:10,126,14
12-5-17:25:58:1,125,13
12-5-17:25:58:2,126,13
12-5-17:25:58:3,126,16
12-5-17:25:58:4,127,12
12-5-17:25:58:5,128,14
12-5-17:25:58:6,129,13
12-5-17:25:58:7,130,12
12-5-17:25:58:8,130,19
12-5-17:25:58:9,129,10
12-5-17:25:59:10,128,13
12-5-17:25:59:1,127,29
12-5-17:25:59:2,126,15
12-5-17:25:59:3,125,13
12-5-17:25:59:4,126,14
12-5-17:25:59:5,126,16
12-5-17:25:59:6,127,13
12-5-17:25:59:7,128,25
12-5-17:25:59:8,129,13
12-5-17:25:59:9,130,12
12-5-17:26:0:10,131,13
12-5-17:26:0:1,131,12
12-5-17:26:0:2,129,12
12-5-17:26:0:3,128,13
12-5-17:26:0:4,127,13
12-5-17:26:0:5,126,16
12-5-17:26:0:6,126,15
12-5-17:26:0:7,125,14
12-5-17:26:0:8,126,10
12-5-17:26:0:9,127,15
12-5-17:26:1:10,128,11
12-5-17:26:1:1,128,11
12-5-17:26:1:2,130,14
12-5-17:26:1:3,130,14
12-5-17:26:1:4,131,12
12-5-17:26:1:5,130,14
12-5-17:26:1:6,129,12
12-5-17:26:1:7,128,12
12-5-17:26:1:8,126,14
12-5-17:26:1:9,126,11
12-5-17:26:2:10,126,11
12-5-17:26:2:1,126,10
12-5-17:26:2:2,126,18
12-5-17:26:2:3,127,24
12-5-17:26:2:4,128,16
12-5-17:26:2:5,129,19
12-5-17:26:2:6,130,19
12-5-17:26:2:7,130,18
12-5-17:26:2:8,130,13
12-5-17:26:2:9,129,13
12-5-17:26:3:10,127,16
12-5-17:26:3:1,126,15
12-5-17:26:3:2,125,15
12-5-17:26:3:3,125,14
12-5-17:26:3:4,126,14
12-5-17:26:3:5,126,14
12-5-17:26:3:6,127,13
12-5-17:26:3:7,128,18
12-5-17:26:3:8,129,12
12-5-17:26:3:9,130,18
12-5-17:26:4:10,131,13
12-5-17:26:4:1,130,10
12-5-17:26:4:2,129,13
12-5-17:26:4:3,128,15
12-5-17:26:4:4,126,13
12-5-17:26:4:5,126,13
12-5-17:26:4:6,126,14
12-5-17:26:4:7,126,13
12-5-17:26:4:8,126,20
12-5-17:26:4:9,127,13
12-5-17:26:5:10,128,21
12-5-17:26:5:1,129,23
12-5-17:26:5:2,130,12
12-5-17:26:5:3,131,16
12-5-17:26:5:4,130,22
12-5-17:26:5:5,129,11
12-5-17:26:5:6,128,24
12-5-17:26:5:7,126,15
12-5-17:26:5:8,126,15
12-5-17:26:5:9,126,13
12-5-17:26:6:10,126,13
12-5-17:26:6:1,126,13
12-5-17:26:6:2,127,14
12-5-17:26:6:3,128,14
12-5-17:26:6:4,130,16
12-5-17:26:6:5,130,22
12-5-17:26:6:6,131,15
12-5-17:26:6:7,130,15
12-5-17:26:6:8,129,12
12-5-17:26:6:9,127,11
12-5-17:26:7:10,127,14
12-5-17:26:7:1,126,16
12-5-17:26:7:2,126,10
12-5-17:26:7:3,126,29
12-5-17:26:7:4,127,16
12-5-17:26:7:5,128,14
12-5-17:26:7:6,129,13
12-5-17:26:7:7,130,20
12-5-17:26:7:8,131,25
12-5-17:26:7:9,131,14
12-5-17:26:8:10,130,12
12-5-17:26:8:1,129,14
12-5-17:26:8:2,127,13
12-5-17:26:8:3,126,12
12-5-17:26:8:4,126,20
12-5-17:26:8:5,126,16
12-5-17:26:8:6,126,10
12-5-17:26:8:7,127,12
12-5-17:26:8:8,128,14
